fold,prob_cal,y_true
15,0.7516525654238237,1
15,0.7567341168020948,1
15,0.7002164610000368,1
15,0.7663723381327932,1
15,0.8122689281011258,1
15,0.8124493186367554,1
15,0.7965911935284945,1
15,0.8030650886804759,1
15,0.8305539601140147,1
15,0.6765955486706867,1
15,0.7084695423960148,1
15,0.6942349040071291,1
15,0.6990216573542408,1
15,0.7326885014782737,1
15,0.7646010933081512,1
15,0.7524673909420813,1
15,0.7189350065991119,1
15,0.7714299623781324,1
15,0.8170756288142146,1
15,0.7844321580105744,1
15,0.8273966050761039,1
15,0.7810292458587393,1
15,0.7570791115854152,1
15,0.7768953157173683,1
15,0.7803254712132371,1
15,0.8070510968602408,1
15,0.7621512157486593,1
15,0.6865067262211976,1
15,0.7523086487008008,1
15,0.8156309753572892,1
15,0.802478057142018,1
15,0.8183323255870929,1
15,0.8678558986819931,1
15,0.8572295409064227,1
15,0.8642119734186594,1
15,0.8110424638211207,1
15,0.8309279651811635,1
15,0.8296099994307972,1
15,0.867043996428491,1
15,0.856331455086925,1
15,0.8476649797126464,1
15,0.8625749402905661,1
15,0.8310995066676647,0
15,0.6383128631068434,0
15,0.8096176459506788,0
15,0.8166585977897742,0
15,0.7958005278717125,0
15,0.780052380129622,0
15,0.7453307829383579,0
15,0.7554016540207471,1
15,0.722613944901087,1
15,0.6681282540165779,1
15,0.7054533690373721,1
15,0.7872628660066379,1
15,0.727931659195451,1
15,0.7385072110915173,1
15,0.7261625793353491,1
15,0.7206374194904233,1
15,0.6924137545678429,1
15,0.7333751391603973,1
15,0.7639963034451518,1
15,0.7107949490905902,1
15,0.7112533873792853,1
15,0.7129742809407772,1
15,0.731149891069769,1
15,0.732592337312701,1
15,0.7592492716266062,1
15,0.7694498800199677,1
15,0.7899648589999522,1
15,0.7774229819920022,1
15,0.7557429051842248,1
15,0.7744839329991268,1
15,0.8095160370384051,1
15,0.7807782842283236,1
15,0.7801977644978066,1
15,0.7795130367943255,1
15,0.7719661917873414,1
15,0.8191381466252723,1
15,0.7836840435967972,1
15,0.8028801036652397,1
15,0.7600849337867566,1
15,0.8031393964194816,1
15,0.8070314895810362,1
15,0.8254511318966622,1
15,0.8217432308151252,1
15,0.8009278545210861,1
15,0.8106061762399379,1
15,0.7950096321071523,1
15,0.7988259398282521,1
15,0.7606315537471516,1
15,0.7687784981239294,1
15,0.7761068211533042,1
15,0.8324541618795682,1
15,0.8025304122075795,1
15,0.8247066132435825,1
15,0.8758676464921226,1
15,0.8253422350860455,1
15,0.7651211013285312,1
15,0.7711275228865999,1
15,0.7760466700473266,1
15,0.7651101416906434,1
15,0.7611749471527254,1
15,0.8154855834510063,1
15,0.8423322975001268,1
15,0.7605684908869574,1
15,0.8422468315299765,1
15,0.8247790408661568,1
15,0.7986858857680776,1
15,0.8419789370809242,1
15,0.8086789924155541,1
15,0.8282017221946399,1
15,0.6902634790158669,1
15,0.7974751434132381,1
15,0.820309042050418,1
15,0.852722924482578,1
15,0.8204969679468311,1
15,0.7590304943197447,1
15,0.7952782347623008,1
15,0.7939521153805011,1
15,0.7817138380857875,1
15,0.7731437219223161,1
15,0.7932156078126773,1
15,0.8395685690177191,1
15,0.8110872284855829,1
15,0.8221409445354622,1
15,0.8620060208910899,1
15,0.851536864601595,1
15,0.7986783265641991,1
15,0.8277987306923398,1
15,0.8305399880565135,1
15,0.7890952385300625,1
